,case_id,Authority,Betrayal,Care,Degradation,Fairness,Freedom,GEOID,Harm,Injustice,Loyalty,Oppression,Purity,Subversion,for_sah,is_vivid,retweet_count,screen_name,text,user_id,month,day,year,clf_unemploy_pct,cvap,demgov,female_pct,lesscollege_pct,lesshs_pct,mask_score,median_hh_inc,net_dem_gov_votes,net_dem_president_votes,parent,repgov,ruralurban_cc,urm_pct,is_blue,deaths,cases
352,180,0,0,1,0,0,0,36047,1,0,1,0,0,0,1,0,0.0,paradoxfoxx,IT'S NOT ABOUT YOU! IT'S NOT ABOUT WHETHER YOU WILL SURVIVE THE VIRUS. IT'S THE POTENTIAL TO SPREAD THE VIRUS TO PPL WHO WILL NOT SURVIVE BECAUSE YOU WONT STAY TF HOME. BE CONSIDERATE! #STAYHOME #COVID,495701278,3,19,2020,7.0,9.0,8.0,9.0,0.0,8.0,8.0,6.0,9.0,9.0,3609,8.0,1.0,9.0,1.0,18.0,660.0
354,1803,0,0,1,0,0,0,36029,0,0,0,0,0,0,1,0,1.0,aletaann10,"@billmaher Bill, I watch you weekly, but stay at home order was to flatten curve and keep hospitals from being over capacity, not to inconvenience you. Also, big difference between deaths d/t obesity, drowning, MVAs is that Covid19 is contagious.Stop acting like Drs. Oz &amp; Phil.",780753446,4,19,2020,4.0,9.0,8.0,8.0,1.0,2.0,9.0,7.0,9.0,9.0,3626,8.0,1.0,6.0,1.0,135.0,2192.0
355,1804,0,0,1,0,0,0,42011,0,0,0,0,0,0,1,0,1.0,Southh_Dakotaaa,if the stay at home order lifts before the virus is controlled ... I am still staying home. Fuckin idiots.,2765382973,4,19,2020,6.0,9.0,8.0,6.0,2.0,5.0,9.0,8.0,9.0,0.0,4209,8.0,2.0,7.0,0.0,65.0,1898.0
356,1808,0,0,1,0,0,0,36029,0,0,1,0,0,0,1,0,0.0,nicktiedo_251,"I get this feeling from the #ReopenAmerica rally folks.  Right now we're still doing the #SocialDistancing and #FlatteningtheCurve

Please don't listen to greedy people who don't care about the health and safety of our neighbors.

https://t.co/C3TwCy8z6v",2775955301,4,19,2020,4.0,9.0,8.0,8.0,1.0,2.0,9.0,7.0,9.0,9.0,3626,8.0,1.0,6.0,1.0,135.0,2192.0
357,181,0,0,1,0,0,0,42041,0,0,1,0,0,0,1,0,1.0,SafeStreetsCH,"We are all neighbors in this together! Join our #StayHomeCampHill campaign. Consider updating your profile image, display it in your window, or do both! Together, we are all stronger: 

Stay Healthy. 
Stay Safe. 
Stay Home Camp Hill. 

Get yours now: https://t.co/ypaAbxzBKY https://t.co/RZJsU8Qb70",1075234575805284352,3,19,2020,2.0,9.0,8.0,5.0,0.0,2.0,6.0,9.0,0.0,0.0,4210,8.0,2.0,4.0,0.0,0.0,11.0
358,1810,0,0,1,0,0,0,53037,0,0,0,0,0,0,1,0,0.0,collettegauvin,"Stay Home, Stay Safe.  #FlattenTheCurve",133652606,4,19,2020,4.0,6.0,6.0,3.0,0.0,2.0,8.0,5.0,2.0,5.0,5308,6.0,4.0,4.0,0.0,0.0,14.0
359,1811,1,0,1,0,0,0,32003,0,0,1,0,0,0,1,0,0.0,KLUNA_G,"@FOX5Vegas Just please stay home and follow advise. Its not hard, lets get this under control so we can all go back to some level of normal. #worktogether #StayHomeSaveLives",819421243199864836,4,19,2020,8.0,9.0,8.0,3.0,2.0,6.0,9.0,7.0,0.0,9.0,3201,8.0,1.0,8.0,1.0,137.0,2940.0
360,1812,0,0,0,0,0,0,6085,1,0,0,0,0,0,1,0,0.0,hhawk,"@kylegriffin1 I'm truly sorry so many Trump supporter are going to die, I'm angry they will infect other people, I furious that means more or most of us will have to stay sheltered at home that longer then needed because a few folks wanted to go to the beach.",2223531,4,19,2020,4.0,9.0,8.0,2.0,0.0,5.0,9.0,9.0,9.0,9.0,0619,8.0,1.0,7.0,1.0,73.0,1870.0
361,1814,0,0,1,0,0,0,12086,0,0,0,0,0,0,1,0,0.0,CED_PR_KING,@johnhawkinsrwn @kenmartin73 @realDonaldTrump Sooo making you stay home to prevent the spread of a virus that has no cure and had killed tens of thousands worldwide is oppressive? Clearly COMMON SENSE is at an all time low in this country ,258954991,4,19,2020,7.0,9.0,8.0,8.0,1.0,7.0,9.0,4.0,9.0,9.0,1227,8.0,1.0,9.0,1.0,207.0,9354.0
362,1818,0,0,1,0,0,0,55133,0,0,0,0,1,0,1,0,0.0,LivingLindaNet,"Social distancing... staying safe...  

Ready to go?   Weather or not.  There goes Rob!

Bless you all!

#letsgetgoingnow
#livinglindanet
#stayhome 
#stayhealthy 
#weatherornot 
#blessings @ Menomonee Falls, https://t.co/LN4YOaI8Y1",1881079974,4,19,2020,1.0,9.0,8.0,6.0,0.0,0.0,2.0,9.0,0.0,0.0,5505,8.0,1.0,3.0,0.0,12.0,265.0
363,1819,0,0,1,0,0,0,12011,0,0,0,0,0,0,1,0,0.0,navgirl63,Keep it up as I sit at home safely.   https://t.co/8fCynjFvbf,16595365,4,19,2020,7.0,9.0,8.0,8.0,1.0,4.0,9.0,7.0,9.0,9.0,1223,8.0,1.0,9.0,1.0,115.0,3971.0
364,1821,1,0,0,0,0,0,36071,0,0,0,0,0,0,1,0,0.0,RobertReadSR2,@GOPChairwoman @realDonaldTrump She needs to resign as soon as possible !!(please everybody )get her out of the office so she could stay home stay home!!! And comply!!!!,1234623878573502464,4,19,2020,4.0,9.0,8.0,3.0,1.0,3.0,9.0,9.0,1.0,1.0,3618,8.0,1.0,7.0,0.0,211.0,6514.0
365,1822,0,0,1,0,0,0,51087,0,0,0,0,0,0,1,0,0.0,VTFinch,"Geno and I say stay smart, at home, and safe!! Hang in there. https://t.co/fgIkGM6tGT",383574150,4,19,2020,4.0,9.0,0.0,9.0,0.0,2.0,8.0,9.0,8.0,9.0,5104,0.0,1.0,8.0,1.0,62.0,584.0
367,1826,0,0,1,0,0,0,17031,0,0,0,0,0,0,1,0,0.0,MarkSwaim6,"@_BigBen7 Delivery drivers, Uber Eats, Geubhub, postmates,etc.  We are out there so you dont have to be.  Stay home and stay safe.",1192495554523209728,4,19,2020,8.0,9.0,8.0,8.0,0.0,5.0,8.0,8.0,9.0,9.0,1707,8.0,1.0,9.0,1.0,877.0,21272.0
368,1828,1,0,0,0,0,0,36111,1,0,0,0,0,0,1,0,0.0,KebabjianPeter,@realDonaldTrump You are not right on ventilators!!! Lucky for you here in NY we stay at home like we are told . Unlike your idiotic protesters who you love and may die now from their actions . Stop promoting these assholes !!,1180841556112228352,4,19,2020,7.0,8.0,7.0,4.0,1.0,2.0,9.0,8.0,3.0,9.0,3619,7.0,3.0,5.0,1.0,16.0,960.0
369,1829,0,0,1,0,0,0,6037,0,0,0,0,0,0,1,0,6.0,michaelpachter,"The morons who are protest stay at home rules because they believe it impinges upon their rights are completely off base. The states have the right to protect morons from getting sick, and more importantly, have the right from preventing the morons from infecting others /3 end",52968650,4,19,2020,7.0,9.0,8.0,6.0,1.0,8.0,9.0,8.0,9.0,9.0,0640,8.0,1.0,9.0,1.0,600.0,12341.0
370,1832,0,0,1,0,0,0,6073,0,0,0,0,0,0,1,0,0.0,alegre1519,"People are idiots. 

Stay home and stop the spread. That's the real way to regain access to your beaches!!!!

Some folk are so privileged and have never really suffered and it shows... https://t.co/IurAdZNkTL",179229464,4,19,2020,6.0,9.0,8.0,3.0,0.0,5.0,9.0,9.0,9.0,9.0,0652,8.0,1.0,8.0,1.0,71.0,2213.0
371,1833,0,0,0,0,0,0,36061,1,0,0,0,0,0,1,0,14.0,laurenmoran,"these protests are less than 100 people each and its all delusional trump supporters. 

please stop giving them ANY fucking attention, and continue to talk about the amount people that are still fucking dying from people not being able to stay the fuck home, thanks.",16301414,4,19,2020,5.0,9.0,8.0,9.0,0.0,5.0,9.0,9.0,9.0,9.0,3613,8.0,1.0,8.0,1.0,1484.0,17719.0
372,1834,0,0,1,0,0,0,41029,0,0,1,0,0,0,1,0,0.0,CaptHopper,"What is up with all these #snowflakes that lack the patriotism, self discipline, and the love and respect for one's neighbors to just stay home. Not to mention it seems somewhat short-sighted and reckless. #discipline #compassion #StayHome #TogetherAtHome 
Be well EVERYONE.",45778294,4,19,2020,7.0,9.0,8.0,7.0,2.0,3.0,7.0,5.0,1.0,1.0,4102,8.0,3.0,5.0,0.0,0.0,49.0
373,1835,0,0,1,0,0,0,53033,0,0,0,0,0,0,1,0,0.0,MarbleChristy,Hero. Beyond sad to read. Cannot imagine how unbearable it would be for anyone involved.  Best act of compassion is to continue to stay home. https://t.co/GdPdoRdP4o,1017970802375839745,4,19,2020,3.0,9.0,8.0,3.0,0.0,1.0,9.0,9.0,9.0,9.0,5307,8.0,1.0,6.0,1.0,380.0,5174.0
374,184,1,0,0,0,0,0,6037,0,0,0,0,0,0,1,0,6.0,leneenafr,"Safer At Home Act starting tonight so stay tf at home. Grocery stores will remain OPEN so please stop panic buying! For once keep others in mind, we ALL need food and supplies. https://t.co/nzcHr1BNdv",2781162504,3,20,2020,7.0,9.0,8.0,6.0,1.0,8.0,9.0,8.0,9.0,9.0,0640,8.0,1.0,9.0,1.0,2.0,292.0
375,1841,0,0,1,0,0,0,36059,0,0,0,0,0,0,1,0,0.0,narinelion,"@ErinBurnett Our hospital plays a beautiful song for those who recuperate for Covid 19 as they being discharged.Please rest stay healthy and stay home and play the song , Staying Alive.",459716207,4,19,2020,3.0,9.0,8.0,8.0,0.0,2.0,9.0,9.0,9.0,9.0,3604,8.0,1.0,7.0,1.0,1109.0,30013.0
376,1843,1,0,0,0,0,0,48201,0,0,0,0,0,0,1,0,0.0,Strunkss_,@EvelynsTooReal Your supposed to stay home!,812428801,4,19,2020,5.0,9.0,8.0,4.0,1.0,8.0,9.0,8.0,0.0,9.0,4829,8.0,1.0,9.0,1.0,131.0,4823.0
377,1844,0,0,1,0,0,0,34023,0,0,0,0,0,0,1,1,0.0,elle809,"I am blaming Florida for me missing out on soundcheck for BTS. Because, they just caused this thing to stay until the fall.  stay the fuck home. We dnt have wide spread testing, we dont even see the graph decreasing. We dnt even have a fucking vaccine.",215131615,4,19,2020,5.0,9.0,0.0,6.0,0.0,3.0,9.0,9.0,8.0,9.0,3406,0.0,1.0,7.0,1.0,329.0,8017.0
378,1845,0,0,1,0,0,0,6073,0,0,0,0,0,0,1,0,0.0,paigeofeagle,SUPPORT SMALL BUSINESSES. BUT JUST BECAUSE SOME SMALL BUSINESS CANT BE OPEN RIGHT NOW AND TARGET IS STILL OPEN DOESNT MEAN THERES A CONSPIRACY AGAINST SMALL BUSINESSES. CORONAVIRUS ISNT A CONSPIRACY. PLEASE STAY INSIDE AND DONT GET PEOPLE SICK,550685549,4,19,2020,6.0,9.0,8.0,3.0,0.0,5.0,9.0,9.0,9.0,9.0,0652,8.0,1.0,8.0,1.0,71.0,2213.0
380,1848,0,0,1,0,0,0,53033,0,0,0,0,0,0,1,1,83.0,Ryanintheus,"Stay the f@#% home!

This is not done!

Its a virus, not a government conspiracy!

Ive had it, you dont want it, &amp; neither does your family &amp; loved ones.

Im sick of being home too!

And Im sorry if this is causing you financial pain.

But death is worse!

#coronavirus",58569413,4,19,2020,3.0,9.0,8.0,3.0,0.0,1.0,9.0,9.0,9.0,9.0,5307,8.0,1.0,6.0,1.0,380.0,5174.0
381,1849,0,0,1,0,1,0,32003,0,0,0,0,0,0,1,0,0.0,_LeoneBrittany_,"So the people kicking it with the people the don't live with, are you special? 

Do you not apply with the rest of the stay at home order people?

Genuinely curious
Are you ballsy? Don't care about the people who risk their lives everyday? Dying to know.",1836630175,4,19,2020,8.0,9.0,8.0,3.0,2.0,6.0,9.0,7.0,0.0,9.0,3201,8.0,1.0,8.0,1.0,137.0,2940.0
384,1857,1,0,0,0,0,0,6059,0,0,1,0,0,0,1,0,0.0,Lisamichelewil2,"@tribelaw Not to mention the 330 million of us that would also love to have our lives back, but respect that thats not going to happen during this pandemic and accept that for the good of humanity we need to stay home to do our part.",804915257353195524,4,20,2020,4.0,9.0,8.0,5.0,0.0,6.0,9.0,9.0,0.0,9.0,0646,8.0,1.0,8.0,1.0,33.0,1676.0
385,1858,0,0,1,0,0,0,6059,1,0,0,0,0,0,1,0,0.0,Jer_Bear__,@eggpro1975 @ABC7Jory @ABC7 its to prevent this virus from spreading quickly ... would be dumb to open things up with no vaccine.. this will only lead to more people getting infected ...  stay at home is playing it safe! better safe than sorry,59397902,4,20,2020,4.0,9.0,8.0,5.0,0.0,6.0,9.0,9.0,0.0,9.0,0646,8.0,1.0,8.0,1.0,33.0,1676.0
386,186,0,0,1,0,0,0,1097,0,0,0,0,0,0,1,0,3.0,HollywoodTyrone,Stay motivated stay home stay undefeated survive this virus  #MambaMentality #Beat #COVID19 #mambaselfquarantine https://t.co/VuPdSJ3BuE,543737845,3,20,2020,7.0,9.0,8.0,9.0,3.0,5.0,5.0,4.0,0.0,0.0,0101,8.0,2.0,8.0,0.0,0.0,2.0
388,1868,0,0,1,0,0,0,26163,0,0,0,0,0,0,1,0,0.0,SoapyRock,"""you go to work, how come I can't go to work?""

Karen, what do you do that's so important? Chill the fuck out at home so you don't DIE

#coronaisAkaren https://t.co/Ra0JCiXLOA",18540882,4,20,2020,9.0,9.0,8.0,9.0,3.0,6.0,8.0,3.0,9.0,9.0,2613,8.0,1.0,8.0,1.0,1241.0,14027.0
389,187,0,0,1,0,0,0,6071,0,0,0,0,0,0,1,0,0.0,MPRR489,STAY AT HOME! STAY AT HOME! STAY AT HOME! #flatteningthecurve https://t.co/iJhR3o5ZQu,29923969,3,20,2020,9.0,9.0,8.0,4.0,4.0,8.0,9.0,7.0,0.0,9.0,0631,8.0,1.0,9.0,1.0,0.0,9.0
390,1871,1,0,0,0,0,0,49057,1,0,0,0,0,0,1,1,1.0,LindseyS_12,"Please start listening &amp; stay home! My grandma has been in the hospital for 2 1/2 months &amp; we havent been able to see her in 4 weeks. Her doc believes that loneliness is halting her healing. Stay home people, please. Only do whats necessary. We need this to be over. #StayHome",165891626,4,20,2020,2.0,9.0,8.0,3.0,2.0,2.0,5.0,8.0,0.0,0.0,4901,8.0,2.0,6.0,0.0,0.0,0.0
391,1872,0,0,1,0,0,0,12057,0,0,0,0,0,0,1,0,0.0,supsup010,You can be a hero doing nothing.. Staying at home.. keeping everyone safe! #Pandemic #COVID19 https://t.co/CPEEZ1YcT5,118948839,4,20,2020,6.0,9.0,8.0,7.0,1.0,4.0,8.0,6.0,9.0,9.0,1214,8.0,1.0,8.0,1.0,19.0,973.0
393,1876,0,0,1,0,0,0,24029,1,0,0,0,0,0,1,0,0.0,AltBadDude,"#TruthBeTold 
Abso-fucking-lutly!!! 
#Heartbreaking to live in #trumpsamerica #winning?

Tump is #willfullyIGNORANT #coronavirus #COVID19 forever #TrumpVirus #Blametrump 4 every death!!!
        
#COVIDIOTS#PhysicalDistancing #StayHome #StayHomeSaveLives #StayHomeStayHealthy https://t.co/S8VGVjZq92",828064979542765568,4,20,2020,3.0,4.0,4.0,9.0,1.0,4.0,9.0,7.0,3.0,8.0,2401,4.0,6.0,6.0,0.0,1.0,28.0
394,1878,1,0,0,0,0,0,8031,0,0,1,0,0,0,1,0,0.0,jenji,Way to go Health Care Workers! Stay strong! Ive got your back by staying home... Monday is the start of my 7th week! #AllInThisTogether #Denverhowl  #Denver #writerslife https://t.co/XiFBEmWXiI,17631878,4,20,2020,3.0,9.0,8.0,3.0,0.0,5.0,9.0,8.0,9.0,9.0,0801,8.0,1.0,8.0,1.0,83.0,1880.0
395,1879,0,0,1,0,0,0,4009,1,0,0,0,0,0,1,0,0.0,anticrooks,@MarcZenn Health workrs see shut down is helping &amp; ppl are still dying. Numbers coming down so cant let our guard down. I want to see trump w/entire family w/COVID19 in hospitals. Lets beat this virus by sheltering ar home &amp; get tested.With all weve gone thru it must stand for something,783907864251289600,4,20,2020,9.0,5.0,3.0,0.0,8.0,5.0,4.0,5.0,2.0,3.0,0401,4.0,7.0,8.0,0.0,0.0,2.0
396,188,0,0,1,0,0,0,22073,0,0,0,0,0,0,1,0,0.0,KhakiSills,@HillaryClinton @realDonaldTrump No one listens to you! Stay home and take care of yourself!,1464593293,3,20,2020,6.0,8.0,0.0,9.0,2.0,6.0,4.0,2.0,8.0,0.0,2205,0.0,3.0,8.0,0.0,0.0,0.0
397,1886,0,0,1,0,0,0,15003,0,0,0,0,0,0,1,0,0.0,MrKsTweets,"This is home. Stay home. Stay safe. @ Honolulu, Hawaii https://t.co/zGtZsXZKEW",492835540,4,20,2020,2.0,9.0,8.0,2.0,0.0,2.0,9.0,9.0,9.0,9.0,1501,8.0,2.0,5.0,1.0,6.0,385.0
398,1888,0,0,0,0,0,0,36001,1,0,0,0,0,0,1,0,0.0,amethyst7223,"Florida reputed more than 1600 new cases in 24 hours. But yeah, lets open the fucking beaches #COVID19 #FloridaMorons #DeSantis",1525803348,4,20,2020,3.0,9.0,8.0,8.0,0.0,1.0,9.0,8.0,9.0,9.0,3620,8.0,2.0,6.0,1.0,22.0,687.0
399,1889,0,0,1,0,0,0,12017,0,0,0,0,0,0,1,0,0.0,Richard81016023,Common sense Social distancing as well as staying home does not kill people. But the virus does.,908458782946205696,4,20,2020,9.0,8.0,7.0,8.0,5.0,5.0,6.0,2.0,0.0,0.0,1211,8.0,3.0,4.0,0.0,8.0,86.0
400,189,0,0,1,0,0,0,36047,0,0,0,0,0,0,1,0,0.0,JustErinR,@collectiveUV @JonathanJWagner Its really not gonna stop the spread unless we all stay home at the same time,156274507,3,20,2020,7.0,9.0,8.0,9.0,0.0,8.0,8.0,6.0,9.0,9.0,3609,8.0,1.0,9.0,1.0,29.0,1334.0
401,1891,0,0,0,0,0,0,27037,1,0,0,0,0,0,1,0,0.0,tyjohn47,#COVID19 #COVIDIOTS #BranchCovidians  More than 1 in 3 confirmed cases worldwide and about 1 in 4 deaths from COVID19 are in the US ... but fuck it! Lets open everything back up. #sarcasm https://t.co/7hgsdctmuT,1270367640,4,20,2020,1.0,9.0,8.0,6.0,0.0,0.0,5.0,9.0,5.0,9.0,2702,8.0,1.0,5.0,1.0,6.0,124.0
402,1893,0,0,1,0,0,0,6037,0,0,1,0,0,0,1,0,0.0,LaReineChabut,"In case you forgot, its Monday  #weareinthistogether 
.
.
#momgevity #mondaymood #momcation #mondayvibes #stayhome #love #stayhealthy #momlife #homeschool #family #i @ Los Angeles, California https://t.co/ekDyzeC6Og",266421915,4,20,2020,7.0,9.0,8.0,6.0,1.0,8.0,9.0,8.0,9.0,9.0,0640,8.0,1.0,9.0,1.0,619.0,13823.0
403,1894,0,0,1,0,0,0,48201,0,0,0,0,0,0,1,0,0.0,mslowpaz,Stay home. Stop the spread. Stay fit! Beat the virus with a sweat! #CougarSpiritWeek #CarterStars #aldineAtHome https://t.co/zn1U21mnd7,3271073678,4,20,2020,5.0,9.0,8.0,4.0,1.0,8.0,9.0,8.0,0.0,9.0,4829,8.0,1.0,9.0,1.0,134.0,4977.0
404,190,0,0,1,0,0,0,6037,0,0,0,0,0,0,1,1,0.0,CoffeeAdventure,"For those of you that can stay home in quarantine, please please please do! It sucks but it also saves lives. Sadly my husband cant be home now, but I stay home for those that cant. #StayAtHome #QuarantineLife",1240293055694954496,3,20,2020,7.0,9.0,8.0,6.0,1.0,8.0,9.0,8.0,9.0,9.0,0640,8.0,1.0,9.0,1.0,2.0,292.0
406,1902,0,0,0,0,0,0,29095,1,0,0,0,0,0,1,0,0.0,trytostopJane,"@repdottieb4mo @stlhillgirl @DrSamPage @StlCountyParks If one person gets sick from you, I hope they sue the hell out of you.
You dumb woman you're putting others in harms way
Stay the F home and stfu",740577509029216257,4,20,2020,4.0,9.0,8.0,8.0,1.0,3.0,7.0,5.0,3.0,0.0,2905,8.0,1.0,7.0,0.0,11.0,271.0
407,1904,0,0,1,0,0,0,6059,0,0,0,0,0,0,1,0,5.0,shakiraahhh,"Happy 4/20 yall! Stay home, stay healthy, and most importantly STAY LIT  https://t.co/GN1vjd7EkF",1103205511,4,20,2020,4.0,9.0,8.0,5.0,0.0,6.0,9.0,9.0,0.0,9.0,0646,8.0,1.0,8.0,1.0,33.0,1676.0
408,1905,0,0,1,0,0,0,21111,0,0,0,0,0,0,1,0,0.0,LJHPhoto,"We should definitely not be opening things back up. Stay strong, @GovAndyBeshear. #StayAtHome #thecurveisnotflattened https://t.co/2Tt3bPaFt2",32577517,4,20,2020,5.0,9.0,0.0,8.0,1.0,3.0,7.0,6.0,8.0,9.0,2103,0.0,1.0,7.0,1.0,67.0,867.0
409,1906,0,0,0,0,0,0,53061,0,0,0,0,0,1,1,0,0.0,Sharleesmad,"Trump approves protests to open up the economy,which is why we can't...he dosen't care about us ,stay home please,these protests are staged . Seattle | Coronavirus In Washington: What To Know Monday, April 20 https://t.co/wj5fZICLRb",2976278284,4,20,2020,4.0,9.0,8.0,3.0,1.0,1.0,9.0,9.0,9.0,9.0,5301,8.0,1.0,5.0,1.0,101.0,2163.0
410,1909,0,0,1,0,0,0,48113,0,0,0,0,0,0,1,1,0.0,CoolKidMitch,"MIL tested positive for COVID-19. Which means we likely have it. So that's exciting.

Please stay home.",4258471,4,20,2020,4.0,9.0,8.0,6.0,1.0,8.0,9.0,6.0,9.0,9.0,4830,8.0,1.0,9.0,1.0,84.0,2512.0
411,191,0,0,0,0,0,1,21093,0,0,0,0,0,0,0,0,0.0,overitall1970,There's not a chance in hell that the government is going to tell me to stay in my house if i want to go out. We still live in a free country.( for now anyway) #ThinTheHeard #SaferAtHome,1138688767,3,20,2020,6.0,8.0,0.0,3.0,2.0,3.0,6.0,6.0,8.0,1.0,2102,0.0,3.0,6.0,0.0,0.0,1.0
412,1910,0,0,1,0,0,0,17031,0,0,0,0,0,0,1,0,0.0,sandyeem,Now he understands why social distancing is so important.  Stay home. Stay safe https://t.co/AU9KJvsLvR,25195614,4,20,2020,8.0,9.0,8.0,8.0,0.0,5.0,8.0,8.0,9.0,9.0,1707,8.0,1.0,9.0,1.0,915.0,22101.0
413,1912,0,0,1,0,0,0,53033,0,0,1,0,1,0,1,0,0.0,DancesWithRain,Stay safe &amp; be well #QuarantineLife #CoronaVirus #SocialDistancing #PrayForTheWorld #WeGotThisWA #StopTheSpread #BeResponsible #StayHome #DontBeAPartOfTheProblem #ProtectOthers #InThisTogether #WashYourHands #SaveLives #TrustInTheLord #Covid_19 #Seattle #Blessed #DancesWithRain https://t.co/oCuGn0N3Gy,46402897,4,20,2020,3.0,9.0,8.0,3.0,0.0,1.0,9.0,9.0,9.0,9.0,5307,8.0,1.0,6.0,1.0,386.0,5174.0
414,1913,0,0,0,0,0,0,12033,1,0,0,0,0,0,0,0,0.0,GadstoneRoger,Domestic Violence is up because of covid19 lockdown conditions..but not in my house..#Happy420  https://t.co/VPMxUbynDe,429601515,4,20,2020,6.0,9.0,8.0,4.0,2.0,3.0,7.0,4.0,0.0,0.0,1201,8.0,2.0,7.0,0.0,8.0,315.0
415,1915,0,0,1,0,0,0,32003,0,0,0,0,0,0,1,0,0.0,nelsonabongjr,Stay home and stay safe all. ,4001621560,4,20,2020,8.0,9.0,8.0,3.0,2.0,6.0,9.0,7.0,0.0,9.0,3201,8.0,1.0,8.0,1.0,137.0,2998.0
417,1917,0,0,0,0,0,1,17185,0,0,0,0,0,0,0,0,0.0,powerandpresenc,"Ridiculous situation only the sick should be quarantined, the people should stand up, and the people should have their say, and the people should be free and not on lockdown https://t.co/FsNXJ25Z5V",324410859,4,20,2020,7.0,2.0,2.0,7.0,5.0,3.0,0.0,5.0,3.0,4.0,1715,3.0,7.0,1.0,0.0,0.0,1.0
418,192,0,0,0,0,0,0,47037,0,0,1,0,0,0,1,0,0.0,braxxp,"Be part of the solution, not the problem. Stay home. #StayAtHomeChallenge",415231553,3,20,2020,4.0,9.0,8.0,8.0,0.0,4.0,8.0,6.0,0.0,9.0,4705,8.0,1.0,8.0,1.0,1.0,101.0
419,1923,0,0,1,0,0,0,26161,0,0,0,0,0,0,1,0,0.0,Xperience_Moore,"PSA Stay home. Stay safe
#xperiencemoore #fatherhoodchronicles #kidmoore #sirash @ Ypsilanti Township, Michigan https://t.co/NRrusM8UPN",45645027,4,20,2020,4.0,9.0,8.0,5.0,0.0,0.0,9.0,8.0,9.0,9.0,2612,8.0,2.0,6.0,1.0,31.0,976.0
420,1924,0,0,0,0,0,0,34019,0,0,0,1,0,0,0,0,5.0,CrankyJohnny,"@GovMurphy We also have the duty to speak out against tyranny. You know like the tyranny of being ordered to stay at home for two months, the tyranny of not being allowed to use our public lands, destruction of commerce, and arrests for practicing the first amendment.",796119249425141763,4,21,2020,2.0,8.0,0.0,3.0,0.0,0.0,9.0,9.0,8.0,1.0,3407,0.0,1.0,4.0,0.0,18.0,423.0
421,1925,0,0,0,0,0,0,36119,0,0,0,0,0,1,1,0,0.0,rebelstar83,Hopefully every resident in the state of Georgia stays home. Please ignore your idiotic Governor. https://t.co/CG8RnjJzLN,2289991355,4,21,2020,5.0,9.0,8.0,8.0,0.0,4.0,9.0,9.0,9.0,9.0,3616,8.0,1.0,8.0,1.0,809.0,24656.0
423,1927,0,0,1,0,0,0,35043,1,0,0,0,0,0,1,0,0.0,c_howard_91,"I cannot take anyone seriously who thinks protesting against lockdowns is going to fix things. Look you dumb fucks, you can catch corona, and die. Or, stay home, and be healthy. #RepublicansAreKillingUs #StayHome #thisisntdifficult",313139405,4,21,2020,7.0,8.0,7.0,6.0,1.0,2.0,9.0,8.0,0.0,8.0,3503,7.0,2.0,8.0,1.0,6.0,317.0
424,1930,0,0,1,0,0,0,6073,0,0,0,0,0,0,1,0,7.0,brandy_the_pug,Happy Gotcha Day to me!  I hope everyone is staying safe and healthy!  Well all be doing the things we love soon enough!  #pug #happygotchaday #stayhome #flattenthecurve https://t.co/JGoGQYa3aB,2841664349,4,21,2020,6.0,9.0,8.0,3.0,0.0,5.0,9.0,9.0,9.0,9.0,0652,8.0,1.0,8.0,1.0,72.0,2325.0
425,1931,0,0,0,0,0,1,47011,0,0,0,0,0,0,1,0,0.0,ChampionMtager,@Candita46985745 @GovKemp Everyone that wants to stay home...do it! That is your right!,3119526652,4,21,2020,8.0,8.0,4.0,8.0,3.0,6.0,2.0,4.0,0.0,0.0,4703,7.0,3.0,5.0,0.0,1.0,37.0
426,1935,0,0,1,0,0,0,35001,0,0,0,0,0,0,1,0,0.0,briamieux,"Stay home. Stay safe.

And if you can't, wear a nice mask. @ Albuquerque, New Mexico https://t.co/N0TSKjOkWd",14749031,4,21,2020,5.0,9.0,8.0,7.0,1.0,4.0,9.0,5.0,0.0,9.0,3501,8.0,2.0,9.0,1.0,24.0,566.0
427,1936,0,0,1,0,0,0,6037,0,0,0,0,0,0,1,0,22.0,BradEYoung,"This is what I feared :(
Please please stay home! 

https://t.co/Z7TSZfIHi8

#SaferAtHome #Kentucky #CoronaVirus #Newsweek https://t.co/LRhOosYazl",20956414,4,21,2020,7.0,9.0,8.0,6.0,1.0,8.0,9.0,8.0,9.0,9.0,0640,8.0,1.0,9.0,1.0,663.0,15153.0
428,194,0,0,0,0,0,0,36005,1,0,0,0,0,0,1,1,0.0,GirlVowMentor,I know someone that just died this is so f'd up. How can we give people hope #CoronaVirusUpdate #StayHome #COVID,2910790768,3,20,2020,9.0,9.0,8.0,9.0,4.0,9.0,9.0,1.0,9.0,9.0,3615,7.0,1.0,9.0,1.0,23.0,554.0
429,1942,0,0,1,0,0,0,6017,0,0,0,0,0,0,1,0,1.0,ali_bettencourt,"Please...stay smart, stay safe, and stay home",494371301,4,21,2020,8.0,8.0,8.0,3.0,1.0,1.0,8.0,9.0,1.0,1.0,0604,8.0,1.0,5.0,0.0,0.0,38.0
